vorname,nachname,verein,position,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34
Alexander,Schwolow,Hertha BSC,GOAL_KEEPER,29.0,31.0,13.0,122.0,60.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter,Pekarík,Hertha BSC,DEFENDER,26.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimir,Darida,Hertha BSC,MIDFIELDER,-11.0,137.0,-21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin-Prince,Boateng,Hertha BSC,MIDFIELDER,32.0,2.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davie,Selke,Hertha BSC,FORWARD,27.0,-8.0,51.0,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rune,Jarstein,Hertha BSC,GOAL_KEEPER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,141.0,43.0,56.0,13.0,82.0,9.0,133.0,,,,,,,,
Maximilian,Mittelstädt,Hertha BSC,DEFENDER,26.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nils-Jonathan,Körber,Hertha BSC,GOAL_KEEPER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lukas,Klünter,Hertha BSC,DEFENDER,28.0,-5.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suat,Serdar,Hertha BSC,MIDFIELDER,32.0,12.0,26.0,247.0,79.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Torunarigha,Hertha BSC,DEFENDER,-16.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco,Richter,Hertha BSC,MIDFIELDER,11.0,-2.0,0.0,40.0,55.0,-33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago,Ascacibar,Hertha BSC,MIDFIELDER,45.0,32.0,21.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishak,Belfodil,Hertha BSC,FORWARD,-14.0,60.0,61.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis,Jastrzembski,Hertha BSC,FORWARD,35.0,32.0,-31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedryck,Boyata,Hertha BSC,DEFENDER,65.0,17.0,68.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krzysztof,Piatek,Hertha BSC,FORWARD,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Márton,Dárdai,Hertha BSC,DEFENDER,29.0,218.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas,Tousart,Hertha BSC,MIDFIELDER,6.0,-16.0,91.0,88.0,115.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deyovaisio,Zeefuik,Hertha BSC,DEFENDER,12.0,-17.0,6.0,75.0,28.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevan,Jovetić,Hertha BSC,FORWARD,104.0,25.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linus,Gechter,Hertha BSC,DEFENDER,63.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver,Christensen,Hertha BSC,GOAL_KEEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgen,Ekkelenkamp,Hertha BSC,MIDFIELDER,144.0,-26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myziane,Maolida,Hertha BSC,FORWARD,105.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabian,Klos,Arminia Bielefeld,FORWARD,73.0,142.0,88.0,20.0,90.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan,Ortega,Arminia Bielefeld,GOAL_KEEPER,187.0,69.0,58.0,24.0,152.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro,Schöpf,Arminia Bielefeld,MIDFIELDER,83.0,-10.0,90.0,109.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefanos,Kapino,Arminia Bielefeld,GOAL_KEEPER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Robin,Hack,Arminia Bielefeld,MIDFIELDER,6.0,13.0,68.0,50.0,78.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos,Pieper,Arminia Bielefeld,DEFENDER,94.0,43.0,97.0,140.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel,Prietl,Arminia Bielefeld,MIDFIELDER,65.0,84.0,42.0,67.0,60.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cédric,Brunner,Arminia Bielefeld,DEFENDER,66.0,95.0,57.0,48.0,98.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janni,Serra,Arminia Bielefeld,FORWARD,-1.0,5.0,9.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masaya,Okugawa,Arminia Bielefeld,MIDFIELDER,39.0,32.0,32.0,67.0,51.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian,Vasiliadis,Arminia Bielefeld,MIDFIELDER,19.0,114.0,41.0,27.0,48.0,34.0,33.0,47.0,88.0,67.0,31.0,72.0,45.0,103.0,57.0,83.0,-8.0,111.0,146.0,85.0,97.0,12.0,48.0,49.0,73.0,14.0,86.0,10.0,99.0,33.0,18.0,23.0,,
Florian,Krüger,Arminia Bielefeld,FORWARD,0.0,35.0,33.0,-11.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edimilson,Fernandes,Arminia Bielefeld,MIDFIELDER,8.0,-17.0,-15.0,65.0,109.0,93.0,13.0,96.0,137.0,44.0,56.0,30.0,0.0,0.0,0.0,19.0,98.0,,,,,,,,,,,,,,,,,
Joakim,Nilsson,Arminia Bielefeld,DEFENDER,75.0,70.0,64.0,44.0,98.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabian,Kunze,Arminia Bielefeld,MIDFIELDER,75.0,55.0,37.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Barrett,Laursen,Arminia Bielefeld,DEFENDER,64.0,57.0,25.0,41.0,59.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan,De Medina,Arminia Bielefeld,DEFENDER,4.0,17.0,15.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladislav,Cherny,Arminia Bielefeld,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan,Lasme,Arminia Bielefeld,FORWARD,59.0,24.0,30.0,-15.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guilherme,Magro Pires Ramos,Arminia Bielefeld,DEFENDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick,Wimmer,Arminia Bielefeld,MIDFIELDER,149.0,27.0,42.0,-26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lennart,Czyborra,Arminia Bielefeld,DEFENDER,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrés Alberto,Andrade,Arminia Bielefeld,DEFENDER,17.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert,Tesche,VfL Bochum,MIDFIELDER,-134.0,33.0,-3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian,Polter,VfL Bochum,FORWARD,153.0,14.0,-3.0,-19.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konstantinos,Stafylidis,VfL Bochum,DEFENDER,16.0,73.0,-4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom,Weilandt,VfL Bochum,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,Esser,VfL Bochum,GOAL_KEEPER,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel,Riemann,VfL Bochum,GOAL_KEEPER,220.0,139.0,63.0,17.0,47.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny,Blum,VfL Bochum,MIDFIELDER,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony,Losilla,VfL Bochum,MIDFIELDER,45.0,101.0,36.0,48.0,1.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon,Zoller,VfL Bochum,FORWARD,31.0,176.0,109.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danilo,Soares,VfL Bochum,DEFENDER,44.0,132.0,61.0,100.0,6.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milos,Pantovic,VfL Bochum,MIDFIELDER,10.0,79.0,4.0,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerrit,Holtmann,VfL Bochum,MIDFIELDER,175.0,10.0,42.0,9.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saulo,Decarli,VfL Bochum,DEFENDER,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takuma,Asano,VfL Bochum,FORWARD,-16.0,-1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elvis,Rexhbecaj,VfL Bochum,MIDFIELDER,65.0,79.0,6.0,76.0,-20.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eduard,Löwen,VfL Bochum,MIDFIELDER,-18.0,89.0,-25.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbert,Bockhorn,VfL Bochum,DEFENDER,-6.0,39.0,5.0,-1.0,0.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvère,Ganvoula,VfL Bochum,FORWARD,-4.0,-14.0,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxim,Leitsch,VfL Bochum,DEFENDER,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher,Antwi-Adjei,VfL Bochum,MIDFIELDER,-9.0,50.0,1.0,-7.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armel,Bella Kotchap,VfL Bochum,DEFENDER,221.0,30.0,61.0,-38.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick,Osterhage,VfL Bochum,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristian,Gamboa,VfL Bochum,DEFENDER,11.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soma,Novothny,VfL Bochum,FORWARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis,Hartwig,VfL Bochum,FORWARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarsis,Bonga,VfL Bochum,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erhan,Mašović,VfL Bochum,DEFENDER,29.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yussif Raman,Chibsah,VfL Bochum,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konstantinos-Vassilios,Lampropoulos,VfL Bochum,DEFENDER,30.0,110.0,63.0,39.0,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony,Modeste,1. FC Köln,FORWARD,157.0,135.0,96.0,177.0,121.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benno,Schmitz,1. FC Köln,DEFENDER,153.0,125.0,133.0,44.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timo,Horn,1. FC Köln,GOAL_KEEPER,119.0,85.0,50.0,70.0,192.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas,Hector,1. FC Köln,MIDFIELDER,124.0,129.0,110.0,79.0,58.0,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin,Schwäbe,1. FC Köln,GOAL_KEEPER,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark,Uth,1. FC Köln,FORWARD,72.0,134.0,47.0,75.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jannes,Horn,1. FC Köln,DEFENDER,73.0,45.0,26.0,76.0,47.0,-14.0,15.0,0.0,39.0,32.0,99.0,-24.0,-2.0,0.0,-5.0,74.0,61.0,63.0,61.0,15.0,14.0,0.0,10.0,73.0,-17.0,0.0,42.0,19.0,138.0,43.0,20.0,7.0,15.0,
Florian,Kainz,1. FC Köln,MIDFIELDER,330.0,42.0,212.0,21.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salih,Ozcan,1. FC Köln,MIDFIELDER,23.0,23.0,27.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ondrej,Duda,1. FC Köln,MIDFIELDER,22.0,6.0,99.0,3.0,93.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timo,Hübers,1. FC Köln,DEFENDER,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge,Meré,1. FC Köln,DEFENDER,58.0,42.0,64.0,42.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael,Czichos,1. FC Köln,DEFENDER,116.0,47.0,118.0,-1.0,22.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsley,Schindler,1. FC Köln,MIDFIELDER,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca,Kilian,1. FC Köln,DEFENDER,11.0,115.0,64.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian,Andersson,1. FC Köln,FORWARD,13.0,-16.0,28.0,69.0,3.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis,Schaub,1. FC Köln,MIDFIELDER,32.0,-13.0,129.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas,Hauptmann,1. FC Köln,MIDFIELDER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah,Katterbach,1. FC Köln,DEFENDER,-16.0,0.0,0.0,0.0,6.0,-3.0,55.0,44.0,0.0,0.0,26.0,0.0,78.0,32.0,0.0,0.0,47.0,45.0,80.0,0.0,-2.0,0.0,-7.0,101.0,87.0,39.0,62.0,14.0,1.0,0.0,54.0,159.0,,
Kingsley,Ehizibue,1. FC Köln,DEFENDER,32.0,98.0,27.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellyes,Skhiri,1. FC Köln,MIDFIELDER,138.0,68.0,141.0,25.0,46.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Thielmann,1. FC Köln,MIDFIELDER,134.0,26.0,40.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim,Lemperle,1. FC Köln,FORWARD,-8.0,138.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sava-Arangel,Cestic,1. FC Köln,DEFENDER,0.0,0.0,101.0,59.0,112.0,7.0,0.0,74.0,53.0,-52.0,96.0,45.0,-9.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Tomáš,Ostrák,1. FC Köln,MIDFIELDER,82.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejan,Ljubičić,1. FC Köln,MIDFIELDER,51.0,6.0,85.0,67.0,51.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rani,Khedira,Union Berlin,MIDFIELDER,43.0,47.0,82.0,103.0,7.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niko,Gießelmann,Union Berlin,DEFENDER,42.0,134.0,171.0,116.0,73.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,Kruse,Union Berlin,FORWARD,54.0,151.0,140.0,53.0,124.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony,Ujah,Union Berlin,FORWARD,24.0,31.0,59.0,22.0,0.0,114.0,1.0,26.0,-4.0,0.0,15.0,163.0,-18.0,0.0,-1.0,10.0,-4.0,-19.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,-29.0,0.0,-19.0,102.0,28.0,19.0,-23.0,212.0
Robin,Knoche,Union Berlin,DEFENDER,142.0,68.0,87.0,90.0,26.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levin,Öztunali,Union Berlin,MIDFIELDER,28.0,6.0,67.0,82.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas,Luthe,Union Berlin,GOAL_KEEPER,51.0,54.0,82.0,149.0,10.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin,Friedrich,Union Berlin,DEFENDER,95.0,8.0,91.0,-43.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genki,Haraguchi,Union Berlin,MIDFIELDER,19.0,20.0,90.0,66.0,-13.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timo,Baumgartl,Union Berlin,DEFENDER,47.0,74.0,103.0,39.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grischa,Prömel,Union Berlin,MIDFIELDER,1.0,39.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin,Möhwald,Union Berlin,MIDFIELDER,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric,Teuchert,Union Berlin,FORWARD,15.0,19.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suleiman,Abdullahi,Union Berlin,FORWARD,-21.0,-7.0,0.0,-5.0,-13.0,0.0,0.0,0.0,0.0,-12.0,128.0,,,,,,,,,,,,,,,,,,,,,,,
Rick,van Drongelen,Union Berlin,DEFENDER,92.0,52.0,30.0,0.0,21.0,34.0,0.0,0.0,43.0,0.0,0.0,0.0,-5.0,0.0,0.0,73.0,68.0,56.0,26.0,4.0,107.0,-9.0,39.0,29.0,85.0,65.0,0.0,0.0,0.0,0.0,,,,
Paul,Jäckel,Union Berlin,DEFENDER,73.0,86.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frederik,Rönnow,Union Berlin,GOAL_KEEPER,0.0,0.0,42.0,114.0,48.0,123.0,100.0,59.0,58.0,0.0,0.0,0.0,0.0,123.0,54.0,-25.0,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Jakob,Busk,Union Berlin,GOAL_KEEPER,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian,Ryerson,Union Berlin,DEFENDER,4.0,21.0,49.0,0.0,8.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher,Trimmel,Union Berlin,DEFENDER,21.0,13.0,97.0,97.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin,Behrens,Union Berlin,FORWARD,12.0,25.0,57.0,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas,Voglsammer,Union Berlin,FORWARD,30.0,10.0,10.0,52.0,96.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheraldo,Becker,Union Berlin,FORWARD,6.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwo,Awoniyi,Union Berlin,FORWARD,115.0,117.0,160.0,50.0,6.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keita,Endo,Union Berlin,MIDFIELDER,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tymoteusz,Puchacz,Union Berlin,DEFENDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paweł Marek,Wszołek,Union Berlin,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel,Halstenberg,RB Leipzig,DEFENDER,119.0,355.0,152.0,0.0,56.0,0.0,148.0,48.0,94.0,86.0,44.0,93.0,166.0,114.0,26.0,15.0,76.0,201.0,159.0,79.0,150.0,62.0,44.0,130.0,0.0,-1.0,102.0,,,,,,,
Willi,Orban,RB Leipzig,DEFENDER,90.0,159.0,75.0,67.0,90.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lukas,Klostermann,RB Leipzig,DEFENDER,178.0,50.0,-6.0,71.0,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philipp,Tschauner,RB Leipzig,GOAL_KEEPER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin,Kampl,RB Leipzig,MIDFIELDER,63.0,4.0,66.0,52.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin,Henrichs,RB Leipzig,DEFENDER,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yussuf,Poulsen,RB Leipzig,FORWARD,18.0,-13.0,-10.0,68.0,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Péter,Gulácsi,RB Leipzig,GOAL_KEEPER,41.0,169.0,46.0,28.0,85.0,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emil,Forsberg,RB Leipzig,MIDFIELDER,59.0,309.0,18.0,5.0,47.0,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konrad,Laimer,RB Leipzig,MIDFIELDER,45.0,1.0,130.0,-1.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordi,Mukiele,RB Leipzig,DEFENDER,3.0,35.0,-12.0,68.0,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelo,Saracchi,RB Leipzig,DEFENDER,0.0,0.0,181.0,0.0,0.0,113.0,0.0,0.0,18.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Tyler,Adams,RB Leipzig,MIDFIELDER,37.0,143.0,22.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadou,Haidara,RB Leipzig,MIDFIELDER,28.0,100.0,21.0,12.0,186.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher,Nkunku,RB Leipzig,MIDFIELDER,67.0,163.0,29.0,45.0,110.0,373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joscha,Wosz,RB Leipzig,MIDFIELDER,20.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
André Miguel,Valente Silva,RB Leipzig,FORWARD,18.0,235.0,6.0,-21.0,3.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani,Olmo,RB Leipzig,MIDFIELDER,34.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Angel,Esmoris Tasende,RB Leipzig,MIDFIELDER,108.0,14.0,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josep,Martínez Riera,RB Leipzig,GOAL_KEEPER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,,,,
Dominik,Szoboszlai,RB Leipzig,MIDFIELDER,20.0,366.0,25.0,30.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed,Simakan,RB Leipzig,DEFENDER,111.0,185.0,97.0,48.0,32.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian,Brobbey,RB Leipzig,FORWARD,-16.0,-8.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joško,Gvardiol,RB Leipzig,DEFENDER,172.0,37.0,-5.0,116.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilaix,Moriba,RB Leipzig,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
